Cemetery Proper Name,Cemetery Short Name,Lat,Lng,Country
Ashburton Cemetery,Ashburton,-43.91052,171.74754,New Zealand
Waterton Cemetery,Waterton,-44.06292,171.72517,New Zealand
Westport (Orowaiti) Cemetery,Westport,-41.75445,171.6313,New Zealand
Christchurch (Upper Riccarton) Anglican Church Cemetery,Christchurch Riccarton,-43.53208,172.56961,New Zealand
Akaroa Anglican Cemetery,Akaroa,-43.81429,172.95577,New Zealand
Dorie Cemetery,Dorie,-43.87729,172.08625,New Zealand
Waimangaroa Cemetery,Waimangaroa,-41.70075,171.74793,New Zealand
"Ancre British Cemetery, Beaumont-Hamel",Ancre,50.06782,2.66787,France
Carr Villa General Cemetery,Carr Villa,-41.47033,147.16616,Australia
Melcombe Regis Cemetery,Melcombe,50.61394,-2.46389,United Kingdom
Albany Public Cemetery (Old),Albany Old,-35.01763,117.88789,Australia
Rockingham Cemetery,Rockingham,-32.25319,115.78196,Australia
Magiagi Cemetery,Magiagi,-13.84695,-171.7539,Samoa
Uranie Cemetery,Uranie,-17.54726,-149.5815,Society Islands
Beersheba War Cemetery,Beersheba War,31.24417,34.78391,Israel and Palestine (including Gaza)
Carlisle (Stanwix) Cemetery,Carlisle,54.91712,-2.94171,United Kingdom
Alexandria (Chatby) Military And War Memorial Cemetery,Alexandria Chatby,31.20607,29.91599,Egypt
Cairo War Memorial Cemetery,Cairo War Memorial,30.01438,31.23075,Egypt
"Mailly Wood Cemetery, Mailly-Maillet",Mailly Wood,50.0748,2.59923,France
Pieta Military Cemetery,Pieta,35.89042,14.49549,Malta
Bertrancourt Military Cemetery,Bertrancourt Military,50.09082,2.55083,France
Queant Communal Cemetery British Extension,Queant,50.18216,2.9765,France
Ismailia War Memorial Cemetery,Ismailia,30.59634,32.26297,Egypt
Courcelles-Au-Bois Communal Cemetery Extension,Courcelles-Au-Bois,50.10582,2.58548,France
"Canadian Cemetery No.2, Neuville-St. Vaast",Canadian,50.37725,2.76418,France
Perth Cemetery (China Wall),Perth,50.84213,2.92075,Belgium
Daours Communal Cemetery Extension,Daours,49.90549,2.44577,France
Port Said War Memorial Cemetery,Port Said,31.27411,32.27657,Egypt
Bethleem Farm West Cemetery,Bethleem Farm,50.75857,2.90662,Belgium
Tourgeville Military Cemetery,Tourgeville,49.33991,0.06901,France
Kortrijk (St. Jan) Communal Cemetery,Kortrijk,50.82754,3.24296,Belgium
Millencourt Communal Cemetery Extension,Millencourt,50.0029,2.58196,France
Favreuil British Cemetery,Favreuil,50.12244,2.86499,France
Potijze Chateau Grounds Cemetery,Potijze Chateau,50.86119,2.91548,Belgium
"London Cemetery And Extension, Longueval",London,50.03882,2.78228,France
Perth War Cemetery And Annex,Perth,-31.97194,115.80571,Australia
Courtney's And Steel's Post Cemetery,Courtneys and Steels Post,40.23541,26.28899,Turkey (including Gallipoli)
"St. Sever Cemetery, Rouen",St. Sever,49.41263,1.06926,France
Auchonvillers Military Cemetery,Auchonvillers,50.08059,2.62674,France
Durban (Ordnance Road) Military Cemetery,Durban,-29.85282,31.02309,South Africa
Reninghelst New Military Cemetery,Reninghelst,50.81703,2.7598,Belgium
Stratford (Kopuatama) Cemetery,Stratford Kopuatama,-39.33583,174.33656,New Zealand
Inglewood Cemetery,Inglewood,-39.1567,174.2135,New Zealand
New Plymouth (Te Henui) Cemetery,New Plymouth,-39.05666,174.0915,New Zealand
Tataraimaka Cemetery,Tataraimaka,-39.15006,173.91383,New Zealand
Weri Weri Maori Cemetery,Weri Weri,-39.51901,174.22104,New Zealand
Tolaga Bay Maori Cemetery,Tolaga Bay Maori,-38.36292,178.30509,New Zealand
Paterangi Public Cemetery,Paterangi,-37.96109,175.27085,New Zealand
Tokomaru Bay (Tuatini) Maori Cemetery,Tokomaru Bay,-38.13127,178.31506,New Zealand
Ohakune Cemetery,Ohakune,-39.43603,175.38176,New Zealand
Raetihi Cemetery,Raetihi,-39.43511,175.28363,New Zealand
Raetihi Maori Cemetery,Raetihi Maori,-39.42837,175.28583,New Zealand
Manaia Cemetery,Manaia,-39.55742,174.13521,New Zealand
Waipukurau Cemetery,Waipukurau,-40.00712,176.54848,New Zealand
Wairoa Cemetery,Wairoa,-39.0463,177.4133,New Zealand
Pakaraka Maori Cemetery,Pakaraka,-39.82256,174.84597,New Zealand
Wellington Provincial Memorial,Wellington Memorial,-41.27901,174.75067,New Zealand
Metz-En-Couture Communal Cemetery British Extension,Metz-En-Couture,50.06226,3.07585,France
Petone Catholic Cemetery,Petone,-41.22029,174.87026,New Zealand
Purewa Public Cemetery,Purewa,-36.86899,174.83105,New Zealand
Rangiora East Catholic Cemetery,Rangiora East,-43.30855,172.5955,New Zealand
Blenheim (Omaka) Public Cemetery,Blenheim Omaka,-41.53817,173.94012,New Zealand
Picton Cemetery,Picton,-41.28974,173.99758,New Zealand
Murchison Cemetery,Murchison,-41.7954,172.34021,New Zealand
Nelson (Wakapuaka) Cemetery,Nelson,-41.25455,173.30356,New Zealand
Springston Cemetery,Springston,-43.64051,172.45096,New Zealand
Dunedin (Anderson's Bay) Cemetery,Dunedin Anderson Bay,-45.9037,170.53654,New Zealand
Burnley Cemetery,Burnley,53.78263,-2.27903,United Kingdom
Dunedin Northern Cemetery,Dunedin Northern,-45.86095,170.52349,New Zealand
Collingwood Cemetery,Collingwood,-40.6819,172.66883,New Zealand
Brookside Cemetery,Brookside,-43.67523,172.26832,New Zealand
"Ellesmere Cemetery, Selwyn District",Ellesmere,-43.7759,172.25905,New Zealand
Killinchy Cemetery,Killinchy,-43.73262,172.24073,New Zealand
Geraldine Cemetery,Geraldine,-44.09835,171.24169,New Zealand
Temuka Cemetery,Temuka,-44.25059,171.30222,New Zealand
Greymouth (Karoro) Cemetery,Greymouth,-42.46859,171.18901,New Zealand
Stillwater Cemetery,Stillwater,-42.43976,171.34953,New Zealand
Cronadun (Boatman's) Cemetery,Cronadun,-42.03908,171.87762,New Zealand
Timaru Cemetery,Timaru,-44.41221,171.25735,New Zealand
Green Island Cemetery,Green Island,-45.90535,170.43644,New Zealand
Invercargill (Eastern) Cemetery,Invercargill Eastern,-46.40607,168.39363,New Zealand
East Taieri Cemetery,East Taieri,-45.89126,170.34712,New Zealand
Balclutha Cemetery,Balclutha,-46.22916,169.75373,New Zealand
"Riversdale Cemetery, Southland District",Riversdale,-45.91812,168.7269,New Zealand
"Winton Cemetery, Southland District",Winton,-46.12845,168.32461,New Zealand
Otago Provincial Memorial,Otago,-45.90413,170.533,New Zealand
West Taieri Cemetery,West Taieri,-45.85315,170.20558,New Zealand
Remuera (St. Mark's) Churchyard,Remuera,-36.87274,174.78073,New Zealand
Lawrence Cemetery,Lawrence,-45.91688,169.67653,New Zealand
Waikaraka Park Cemetery,Waikaraka Park,-36.929,174.79947,New Zealand
Wreys Bush Cemetery,Wreys Bush,-45.99422,168.09779,New Zealand
Alexandra South Cemetery,Alexandra South,-45.24107,169.39474,New Zealand
Drybread Cemetery,Drybread,-44.99762,169.6076,New Zealand
Waitati Cemetery,Waitati,-45.75407,170.58077,New Zealand
Hampden Cemetery,Hampden,-45.32226,170.8244,New Zealand
Oamaru Cemetery,Oamaru,-45.10921,170.95866,New Zealand
Palmerston North (Terrace End) Cemetery,Palmerston North,-40.34387,175.64027,New Zealand
Auckland (Waikumete) Cemetery,Auckland Waikumete,-36.90206,174.65507,New Zealand
Ngatimoti (Waiwhero) Cemetery,Ngatimoti,-41.188,172.93054,New Zealand
Hokitika Cemetery,Hokitika,-42.70888,170.97501,New Zealand
Purekireki Cemetery,Purekireki,-46.34939,169.4731,New Zealand
Pukepoto Maori Cemetery,Pukepoto,-35.15923,173.22519,New Zealand
Maheno Cemetery,Maheno,-45.17913,170.84838,New Zealand
Isla Bank (Calcium) Cemetery,Isla Bank,-46.20384,168.12787,New Zealand
Otautau New Cemetery,Otautau,-46.13093,168.00641,New Zealand
Riverton Cemetery,Riverton,-46.33061,168.02128,New Zealand
Birkenhead Anglican Cemetery,Birkenhead Angl,-36.80347,174.72515,New Zealand
Purerua Maori Cemetery,Purerua,-35.17679,174.06229,New Zealand
Waihaha Maori Cemetery,Waihaha,-35.34243,174.22596,New Zealand
Makaraka Cemetery,Makaraka,-38.64861,177.98032,New Zealand
Coromandel (Buffalo) Public Cemetery,Coromandel,-36.74346,175.50477,New Zealand
Whitianga Public Cemetery,Whitianga,-36.83046,175.713,New Zealand
Bombay Presbyterian Church Cemetery,Bombay Presb,-37.17879,174.98243,New Zealand
Papakura Public Cemetery,Papakura,-37.06884,174.94565,New Zealand
Maitahi Maori Cemetery,Maitahi,-35.85526,173.76096,New Zealand
Maraeroa (Meheke) Maori Cemetery,Maraeroa,-35.34242,173.63303,New Zealand
Rawene Public Cemetery,Rawene,-35.40853,173.50707,New Zealand
Whakapirau Church Cemetery,Whakapirau,-36.1552,174.2389,New Zealand
Clevedon (St. Andrew's) Presbyterian Churchyard,Clevedon,-36.99231,175.0373,New Zealand
Mangere Public Cemetery,Mangere,-36.96089,174.78773,New Zealand
